project_id,year_started,project_type,client_type,procurement_method,contractor_tier,contract_value_LKR_M,gross_floor_area_m2,num_storeys,has_basement,num_subcontractors,soil_condition,complexity_level,duration (days)
PRJ-001,2019,Commercial,Private,Management Contracting,Tier 3 (Small),485.4,1034,6,0,12,Moderate,Low,630
PRJ-002,2022,Institutional,Private,Design & Build,Tier 1 (Large),815.8,3574,8,1,27,Good,Medium,685
PRJ-003,2023,Industrial,Semi-Government,Management Contracting,Tier 1 (Large),630.9,2065,28,1,15,Good,Medium,880
PRJ-004,2020,Commercial,Private,Management Contracting,Tier 2 (Medium),167.3,662,7,1,6,Poor,Medium,690
PRJ-005,2021,Residential,Private,Design & Build,Tier 3 (Small),81,214,5,0,6,Moderate,Medium,410
PRJ-006,2022,Residential,Government,Management Contracting,Tier 1 (Large),615.7,2517,24,1,20,Good,High,825
PRJ-007,2021,Residential,Semi-Government,Traditional,Tier 2 (Medium),39.8,200,1,0,3,Good,Medium,395
PRJ-008,2022,Mixed-Use,Government,Traditional,Tier 3 (Small),562.7,1006,12,1,29,Moderate,Medium,895
PRJ-009,2023,Industrial,Government,Traditional,Tier 1 (Large),894.1,3821,13,1,25,Good,High,805
PRJ-010,2022,Industrial,Private,Traditional,Tier 2 (Medium),553.1,1066,10,0,15,Good,Low,600
PRJ-011,2021,Residential,Government,Traditional,Tier 2 (Medium),377.9,1048,8,1,13,Moderate,Medium,595
PRJ-012,2021,Institutional,Semi-Government,Traditional,Tier 2 (Medium),616.5,2814,12,0,15,Moderate,Low,675
PRJ-013,2021,Mixed-Use,Private,Design & Build,Tier 2 (Medium),443.5,1928,8,0,9,Moderate,Low,550
PRJ-014,2020,Residential,Private,Traditional,Tier 2 (Medium),525.2,1791,12,0,15,Good,High,525
PRJ-015,2020,Residential,Semi-Government,Traditional,Tier 1 (Large),895.3,3194,17,1,27,Moderate,High,700
PRJ-016,2021,Residential,Government,Design & Build,Tier 3 (Small),376,1100,13,1,10,Good,Medium,595
PRJ-017,2018,Residential,Government,Traditional,Tier 2 (Medium),913.7,2386,26,0,28,Good,Medium,735
PRJ-018,2019,Commercial,Government,Design & Build,Tier 1 (Large),861.5,2316,24,1,15,Moderate,Low,755
PRJ-019,2021,Commercial,Private,Traditional,Tier 1 (Large),198.1,724,6,0,7,Moderate,Low,415
PRJ-020,2021,Residential,Private,Management Contracting,Tier 2 (Medium),79.9,244,7,0,4,Moderate,Low,380
PRJ-021,2020,Industrial,Government,Design & Build,Tier 2 (Medium),109.2,432,2,0,9,Moderate,Medium,530
